City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Lewisporte,CA,82.11,scattered clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
616,Meulaboh,ID,77.72,broken clouds,4.1363,96.1285,Kost Pria
617,Edd,ER,89.58,broken clouds,13.9297,41.6925,Hotel RIKMAN Continental
618,Manga,BF,80.85,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
625,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
626,Fuzhou,CN,82.29,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
630,Tual,ID,78.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
632,Bozeman,US,89.2,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
637,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
638,Montalvo,EC,87.64,light rain,-1.8,-79.3333,Motel Los Laureles
641,Eregli,TR,75.18,clear sky,37.5133,34.0467,Hotel Fuat Bey
643,Liverpool,GB,87.89,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
646,Altagracia De Orituco,VE,84.94,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
647,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
649,Ranong,TH,78.8,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
651,Tiznit,MA,82.42,clear sky,29.5833,-9.5,Hotel RIKMAN Continental
653,Kampong Thum,KH,78.85,moderate rain,12.7111,104.8887,Sambor Village Hotel
656,Biltine,TD,75.25,heavy intensity rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
657,Campo Formoso,BR,77.09,broken clouds,-10.5075,-40.3214,Hotel Rio das Pedras
659,Layou,VC,79.99,broken clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
666,Salina,US,89.31,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
669,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
670,Wajid,SO,79.38,overcast clouds,3.8093,43.2471,xamdihotelresturant114
677,Garowe,SO,85.71,scattered clouds,8.4054,48.4845,Curubo Hotel
678,Wukari,NG,77.11,overcast clouds,7.85,9.7833,Elimtop
680,Freeport,US,86.25,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
681,Westport,US,86.72,clear sky,41.1415,-73.3579,The Westport Inn
682,Havelock,US,88.99,clear sky,34.8791,-76.9013,Sherwood Motel
684,Kokopo,PG,76.33,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
689,Lata,PT,80.17,scattered clouds,40.1629,-8.3327,Casa Maquia
694,Makakilo City,US,76.69,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
