City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Kassala,SD,15.451,36.4,91.17,39,65,6.29,broken clouds
200,Najran,SA,17.4924,44.1277,92.05,25,88,10.45,overcast clouds
201,Aljezur,PT,37.3191,-8.8033,72.3,72,57,9.73,broken clouds
202,Shwebo,MM,22.5667,95.7,89.44,55,100,13.38,overcast clouds
203,Kahului,US,20.8947,-156.47,80.83,77,71,13.0,broken clouds
204,Duenas,PH,11.0672,122.6191,74.88,93,100,1.88,overcast clouds
205,Port-Gentil,GA,-0.7193,8.7815,76.96,78,40,11.5,scattered clouds
206,Simplicio Mendes,BR,-7.8539,-41.9103,92.97,22,12,9.33,few clouds
207,Mosetse,BW,-20.75,26.65,59.85,46,1,15.55,clear sky
208,Xuanhua,CN,40.6103,115.0447,72.37,44,24,4.41,few clouds
209,Raga,SS,8.4596,25.678,70.29,97,97,5.14,light rain
210,Ligayan,PH,4.6533,119.4706,82.99,69,99,5.97,overcast clouds
211,Haimen,CN,23.1935,116.6142,82.29,90,100,13.29,overcast clouds
212,Chenghai,CN,23.4632,116.768,82.31,83,0,2.24,clear sky
213,Fort Nelson,CA,58.8053,-122.7002,67.59,56,75,3.44,broken clouds
214,Twentynine Palms,US,34.1356,-116.0542,104.05,19,99,3.31,overcast clouds
215,Tasiilaq,GL,65.6145,-37.6368,50.16,78,88,6.06,overcast clouds
216,Kultuk,RU,51.7208,103.6956,54.79,89,19,2.55,few clouds
217,Coihaique,CL,-45.5752,-72.0662,42.75,61,75,4.61,broken clouds
218,Saint George,US,37.1041,-113.5841,101.79,23,0,8.99,clear sky
219,Rocha,UY,-34.4833,-54.3333,53.08,55,0,14.07,clear sky
220,Dawson Creek,CA,55.7666,-120.2362,67.64,45,0,11.5,clear sky
221,Sitka,US,57.0531,-135.33,55.29,88,100,9.22,moderate rain
222,Mormugao,IN,15.4,73.8,78.06,89,75,13.8,light intensity drizzle
223,San Patricio,US,28.017,-97.5169,95.07,36,82,12.01,broken clouds
224,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,87,16.51,light rain
225,Santa Cruz Verapaz,GT,15.3667,-90.4333,75.96,65,20,4.61,few clouds
226,College,US,64.8569,-147.8028,60.08,77,100,4.61,light rain
227,Husavik,IS,66.0449,-17.3389,46.8,91,99,11.07,overcast clouds
228,Cabo San Lucas,MX,22.8909,-109.9124,92.61,32,0,9.22,clear sky
229,Corning,US,42.1428,-77.0547,87.12,57,90,5.14,overcast clouds
230,Miri,MY,4.4148,114.0089,77.14,100,20,0.0,few clouds
231,Ahipara,NZ,-35.1667,173.1667,48.13,84,90,5.59,overcast clouds
232,San Ciro De Acosta,MX,21.6333,-99.8167,85.69,37,69,6.85,broken clouds
233,Thaton,MM,16.9206,97.3714,79.05,88,67,3.49,broken clouds
234,Petauke,ZM,-14.2426,31.3253,59.52,56,64,9.82,broken clouds
235,Palmer,US,42.1584,-72.3287,89.51,50,40,8.05,scattered clouds
236,Kununurra,AU,-15.7667,128.7333,53.58,76,20,0.0,few clouds
237,Oranjemund,NA,-28.55,16.4333,60.31,67,6,0.6,clear sky
238,Richards Bay,ZA,-28.783,32.0377,66.79,80,0,11.83,clear sky
239,Buala,SB,-8.145,159.5921,79.0,82,68,8.12,broken clouds
240,Mackay,AU,-21.15,149.2,62.69,90,7,8.79,clear sky
241,Saint-Augustin,CA,51.226,-58.6502,66.04,72,100,19.3,overcast clouds
242,Eydhafushi,MV,5.1033,73.0708,80.96,80,100,20.96,overcast clouds
243,Iwanai,JP,42.9744,140.5089,65.19,99,99,1.79,overcast clouds
244,Yantarnyy,RU,54.8717,19.9381,65.75,72,81,16.02,broken clouds
245,Caluquembe,AO,-13.7833,14.6833,61.72,33,37,3.31,scattered clouds
246,Komsomolskiy,UZ,40.4272,71.7189,84.92,32,0,4.61,clear sky
247,Aguimes,ES,27.9054,-15.4461,75.67,65,40,34.52,scattered clouds
248,Yerbogachen,RU,61.2767,108.0108,57.4,78,93,2.59,overcast clouds
249,Roquetas De Mar,ES,36.7642,-2.6148,86.61,58,0,6.64,clear sky
250,Keta,GH,5.9179,0.9879,80.82,81,52,15.05,broken clouds
251,Payo,ID,-3.7508,103.6372,73.53,94,93,2.19,overcast clouds
252,Hami,CN,42.8,93.45,83.25,23,8,4.12,clear sky
253,Shimoda,JP,34.6667,138.95,73.11,92,59,11.59,broken clouds
254,Kruisfontein,ZA,-34.0033,24.7314,74.88,27,1,9.75,clear sky
255,Arcos,BR,-20.2819,-45.5394,85.39,29,81,0.36,broken clouds
256,Auki,SB,-8.7676,160.7034,76.35,88,31,4.5,scattered clouds
257,Viedma,AR,-40.8135,-62.9967,54.77,36,42,28.5,scattered clouds
258,Maragogi,BR,-9.0122,-35.2225,77.02,77,19,12.97,few clouds
259,Asau,RO,46.4333,26.4,69.28,49,30,8.39,scattered clouds
260,Yulara,AU,-25.2406,130.9889,50.05,26,19,9.62,few clouds
261,Kpalime,TG,6.9,0.6333,74.46,88,81,5.66,light rain
262,Lipin Bor,RU,60.2622,37.9763,61.16,67,70,3.98,broken clouds
263,Henties Bay,NA,-22.116,14.2845,67.77,48,3,9.66,clear sky
264,Saint-Joseph,RE,-21.3667,55.6167,66.58,76,64,17.13,light rain
265,Paamiut,GL,61.994,-49.6678,42.08,90,100,7.16,overcast clouds
266,Bestobe,KZ,52.4994,73.0975,65.61,53,93,6.93,overcast clouds
267,Miamisburg,US,39.6428,-84.2866,75.43,95,75,6.91,moderate rain
268,Conde,BR,-7.2597,-34.9075,76.46,88,75,17.27,broken clouds
269,Baykit,RU,61.67,96.37,51.66,96,71,3.27,broken clouds
270,Namatanai,PG,-3.6667,152.4333,78.8,80,36,9.06,scattered clouds
271,Castelldefels,ES,41.2779,1.9703,92.71,53,0,6.91,clear sky
272,Komsomolskoye,RU,55.2567,47.5461,66.34,85,24,5.59,few clouds
273,Vagur,FO,61.4732,-6.8119,50.97,83,98,24.52,overcast clouds
274,Sochaczew,PL,52.2294,20.2384,71.2,46,93,7.0,overcast clouds
275,Carndonagh,IE,55.25,-7.2667,74.82,76,100,4.54,overcast clouds
276,Bereznehuvate,UA,47.3078,32.8499,68.85,39,46,6.69,scattered clouds
277,Tevaitoa,PF,-16.7833,-151.5,76.35,71,82,19.37,broken clouds
278,Virginia Beach,US,36.8529,-75.978,93.02,62,40,11.5,scattered clouds
279,Hofn,IS,64.2539,-15.2082,62.62,63,20,11.5,few clouds
280,Talcahuano,CL,-36.7167,-73.1167,51.48,93,100,9.22,overcast clouds
281,Kungurtug,RU,50.5994,97.5228,51.69,66,32,1.74,scattered clouds
282,Iquique,CL,-20.2208,-70.1431,59.04,66,22,8.86,few clouds
283,Rialma,BR,-15.315,-49.5844,91.96,16,22,8.32,few clouds
284,Alyangula,AU,-13.8483,136.4192,67.71,91,32,9.04,scattered clouds
285,Aksarka,RU,66.5606,67.7975,61.14,57,31,2.71,scattered clouds
286,Srandakan,ID,-7.9386,110.2506,75.69,87,100,6.33,overcast clouds
287,Barsovo,RU,61.1667,73.1667,62.73,69,76,7.63,broken clouds
288,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,54,0,10.36,clear sky
289,Nyurba,RU,63.2842,118.3319,56.01,96,98,3.85,overcast clouds
290,Saravena,CO,6.9538,-71.8752,87.19,59,78,1.59,broken clouds
291,Fushun,CN,41.8558,123.9233,67.71,95,42,4.0,moderate rain
292,Hamilton,US,39.1834,-84.5333,75.76,93,40,8.05,mist
293,General Roca,AR,-39.0333,-67.5833,52.0,38,98,18.43,overcast clouds
294,Koulamoutou,GA,-1.1303,12.4736,80.91,56,96,2.62,overcast clouds
295,Umm Lajj,SA,25.0213,37.2685,86.13,58,70,5.82,broken clouds
296,Nikolskoye,RU,59.7035,30.7861,58.91,94,98,5.99,overcast clouds
297,Marondera,ZW,-18.1853,31.5519,50.31,74,94,9.86,overcast clouds
298,Goma,CD,-1.6792,29.2228,69.55,64,100,2.91,overcast clouds
299,Villeneuve-Sur-Lot,FR,44.5,0.6667,98.65,27,13,9.1,few clouds
300,Mahajanga,MG,-15.7167,46.3167,80.62,50,40,8.05,scattered clouds
301,Codrington,AU,-38.2667,141.9667,48.58,67,96,18.19,overcast clouds
302,Vila Velha,BR,-20.3297,-40.2925,85.95,72,20,11.5,few clouds
303,Saldanha,ZA,-33.0117,17.9442,59.05,93,0,7.96,clear sky
304,Axim,GH,4.8699,-2.2405,76.24,76,63,9.44,broken clouds
305,Upernavik,GL,72.7868,-56.1549,41.18,86,53,15.14,broken clouds
306,Erenhot,CN,43.6475,111.9767,71.31,26,78,5.79,broken clouds
307,Xuchang,CN,34.0167,113.8167,80.26,67,3,2.55,clear sky
308,Salalah,OM,17.0151,54.0924,78.89,94,100,8.05,overcast clouds
309,Calvinia,ZA,-31.4707,19.776,59.45,33,2,6.58,clear sky
310,Siniscola,IT,40.5719,9.6922,87.35,57,0,5.77,clear sky
311,Puerto Escondido,MX,15.85,-97.0667,85.26,63,100,4.9,overcast clouds
312,Tiarei,PF,-17.5333,-149.3333,71.62,71,69,15.7,broken clouds
313,Monrovia,LR,6.3005,-10.7969,80.37,85,100,13.0,light rain
314,Brentwood,US,40.7812,-73.2462,84.36,72,75,12.66,broken clouds
315,Kaseda,JP,31.4167,130.3167,77.9,85,97,4.81,overcast clouds
316,Abbeville,FR,50.1,1.8333,84.49,17,77,8.61,broken clouds
317,Yaan,NG,7.3833,8.5667,76.51,76,100,4.09,overcast clouds
318,Ayna,PE,-12.65,-73.9167,72.19,57,37,4.99,scattered clouds
